Symbol,Description,Price/Earnings (TTM),Price/Earnings (MRFY),Annual Dividend Yield,Price/Earnings (FYF),Price/Book (MRQ),Price/Sales (TTM),Price/Cash Flow (MRFY),Net Profit Margin (MRFY),Debt to Equity (MRQ),Return on Equity (TTM),Return on Assets (MRFY),Count
AXS,AXIS Capital Holdings Ltd,55.44,"12,760.08",2.73%,22.51,1.05,0.99,27.8,0.82%,0.25,2.02%,0.54%,1
AXTA,Axalta Coating Systems Ltd,27.74,38.43,--,16.95,5.62,1.59,12.68,4.28%,2.93,20.75%,3.97%,1
AYI,Acuity Brands Inc,15.72,14.7,0.43%,12.37,2.41,1.34,11.53,8.94%,0.17,16.35%,9.67%,1
AYR,Aircastle Ltd,11.47,10.12,3.99%,14.43,1.17,2.56,4.22,29.99%,2.55,10.59%,2.78%,1
AYX,Alteryx Inc,271.82,277.02,--,205.64,20.16,21.02,230.25,11.05%,1.61,12.11%,3.99%,1
AZN,AstraZeneca PLC,61.9,58.62,2.81%,27.59,10.75,5.43,27.14,9.28%,1.45,17.06%,3.26%,1
AZPN,Aspen Technology Inc,35.72,37.22,--,36.54,24,15.24,34.78,43.91%,0,67.90%,28.92%,1
AZZ,AZZ Inc,17.41,23.04,1.54%,15.89,1.78,1.14,11.57,5.40%,0.39,10.67%,6.04%,1
B,Barnes Group Inc,20.66,19.65,1.02%,19.69,2.63,2.12,12.1,11.28%,0.71,13.01%,6.23%,1
BABA,Alibaba Group Holding Ltd,26.66,46.36,--,237.44,6.65,9.34,35.58,21.14%,0.2,29.81%,15.69%,1
BAC,Bank of America Corp,12.8,13.32,2.07%,12.81,1.29,3.41,10.87,30.85%,0.88,10.85%,1.16%,1
BAH,Booz Allen Hamilton Holding Corp,25.7,28.23,1.41%,24.35,12.81,1.52,23.43,5.83%,2.43,56.85%,10.22%,1
BAK,Braskem SA,594.58,9.52,2.48%,38.05,3.76,0.53,4.81,5.01%,3.64,0.64%,-0.30%,1
BAND,Bandwidth Inc,562.23,81.47,--,-191.33,6,7.28,68.33,8.78%,0,1.67%,1.34%,1
BANF,BancFirst Corp,15.59,16.41,2.07%,15.37,2.06,4.94,14.48,32.62%,0.03,14.17%,1.65%,1
BANR,Banner Corp,12.92,13.5,3.02%,12.76,1.21,3.38,12.08,25.69%,0.07,10.41%,1.29%,1
BASFY,BASF SE,24.66,17.45,4.91%,8.43,1.49,0.97,8.08,5.94%,0.4,6.41%,2.92%,1
BAX,Baxter International Inc,32.87,32.96,1.02%,25.38,5.61,3.96,19.86,12.79%,0.66,16.64%,8.14%,1
BAYK,Bay Banks of Virginia Inc,20.18,30.45,--,17.31,0.96,3.06,18.99,10.24%,0.06,4.84%,0.55%,1
BBAR,Banco Bbva Argentina SA,2.65,7.28,4.54%,3.29,1.25,1.1,9.05,19.89%,0.05,57.66%,7.18%,1
BBGI,Beasley Broadcast Group Inc,7.93,12.84,6.33%,7.02,0.31,0.33,6.58,2.63%,0.87,3.98%,1.57%,1
BBL,BHP Group PLC,13.97,14,5.71%,15.46,1.04,2.93,8.45,21.50%,0.49,16.81%,8.95%,1
BBQ,BBQ Holdings Inc,18.53,7.89,--,26.18,1.72,0.57,6.74,8.86%,0.1,9.72%,4.00%,1
BBSI,Barrett Business Services Inc,12.65,17.64,1.37%,14.5,4.11,0.7,15.57,4.05%,0.02,41.09%,6.62%,1
BBX,BBX Capital Corp,17.03,11.79,1.18%,31.33,0.69,0.47,5.01,6.51%,1.34,4.24%,2.24%,1
BBY,Best Buy Co Inc,16.06,17.15,2.21%,15.26,7.54,0.54,10.39,3.47%,0.4,49.89%,9.59%,1
BCBP,BCB Bancorp Inc,11.18,13.56,4.09%,11.52,1.01,2.69,12.87,19.57%,0.16,9.47%,0.77%,1
BCEI,Bonanza Creek Energy Inc,2.64,2.76,--,3.79,0.5,1.55,2.21,60.79%,0.09,20.79%,16.46%,1
BCH,Banco de Chile,14.39,14.7,4.72%,13.69,7.66,3.94,14.23,27.65%,2.22,18.27%,1.63%,1
BCML,BayCom Corp,16.4,14.82,--,15.72,1.11,4.04,17.27,24.56%,0.03,7.01%,0.99%,1
BCOR,Blucora Inc,95.41,24.04,--,12.5,1.88,1.8,13.38,9.20%,0.6,2.36%,1.41%,1
BCPC,Balchem Corp,43.19,43.71,0.50%,32.93,4.58,5.25,27.51,12.06%,0.3,11.09%,7.55%,1
BCTF,Bancorp 34 Inc,31.07,46.57,1.30%,15.4,1.1,2.64,27.45,3.68%,0,3.36%,0.40%,1
BDGE,Bridge Bancorp Inc,12.48,16.28,2.99%,12.51,1.31,3.91,14.48,26.44%,0.16,10.85%,1.12%,1
BDL,Flanigan's Enterprises Inc,11.22,11.22,1.25%,22.32,1.08,0.36,4.9,4.67%,0.29,10.06%,7.98%,1
BDN,Brandywine Realty Trust,19.92,20.44,4.91%,124.76,1.61,4.76,8.75,25.22%,1.23,8.06%,3.53%,1
BDX,Becton Dickinson and Co,73.05,73.08,1.15%,21.86,3.52,4.3,22.65,6.84%,0.86,4.91%,2.24%,1
BEAT,BioTelemetry Inc,47.16,41.9,--,25.78,4.72,3.96,20.77,10.48%,0.51,11.78%,6.18%,1
BEDU,Bright Scholar Education Holdings Ltd,31.42,31.12,--,20.13,2.72,2.88,19.25,9.87%,0.77,8.67%,4.06%,1
BEEN,Better Environment Concepts Inc,0.01,0,--,0,0,0.05,0.52,3.92%,0.22,4.83%,0.84%,1
BEN,Franklin Resources Inc,10.65,10.65,4.32%,9.77,1.26,2.16,9.58,20.88%,0.07,11.96%,8.34%,1
BERK,Berkshire Bancorp Inc,22.3,11.87,--,10.2,1.16,6.57,11.4,52.81%,0,5.08%,0.81%,1
BERY,Berry Global Group Inc,14.99,14.91,--,10.99,3.66,0.67,5.81,4.55%,6.96,26.50%,3.16%,1
BESIY,BE Semiconductor Industries NV,42.56,22.18,11.84%,39.65,9.6,7.91,18.68,25.94%,1.05,22.15%,9.65%,1
BF/B,Brown-Forman Corp,40.44,45.3,1.04%,36.87,16.55,9.21,39.79,21.54%,1.18,46.47%,14.93%,1
BFAM,Bright Horizons Family Solutions Inc,53.35,60.62,--,44.68,10.51,4.68,36.47,8.30%,1.15,21.41%,6.28%,1
BFC,Bank First Corp,18.25,17.89,1.17%,17.63,2.15,6.19,17.69,34.11%,0.3,12.83%,1.30%,1
BFIN,BankFinancial Corp,13.32,11.62,3.10%,17.3,1.14,3.01,8.64,28.89%,0,8.58%,1.04%,1
BFS,Saul Centers Inc,30.48,32.43,4.08%,52.01,6.47,5.13,12.43,27.64%,2.13,22.14%,4.10%,1
BFST,Business First Bancshares Inc,15.68,20.47,1.60%,13.67,1.18,3.78,21.73,20.13%,0.09,8.70%,1.10%,1
BFTI,Befut Global Inc,0,0,--,0,0,0,0,16.43%,0.22,17.64%,8.25%,1
BGCP,BGC Partners Inc,76.94,24.15,9.81%,9.36,2.75,1.41,16.49,5.67%,1.53,6.07%,1.01%,1
BGII,BGI Inc,0.04,0.04,--,0,0.02,0.01,0.04,27.49%,0,58.90%,49.37%,1
BGS,B&G Foods Inc,6.21,6.47,11.52%,9.83,1.25,0.64,4.74,9.93%,2.53,20.83%,4.98%,1
BGSF,BG Staffing Inc,14.2,11.8,5.68%,15.75,3.2,0.74,9.57,6.12%,0.3,23.55%,14.57%,1
BH,Biglari Holdings Inc,3.2,13,--,112.36,0.43,0.5,9.51,2.23%,0.44,12.90%,6.85%,1
BHB,Bar Harbor Bankshares,14.33,11.31,3.68%,23.94,0.94,3.19,9.94,27.72%,0.11,6.92%,0.73%,1
BHE,Benchmark Electronics Inc,26.73,87.68,1.73%,24.21,1.25,0.53,18.95,0.72%,0.14,4.82%,2.90%,1
BHF,Brighthouse Financial Inc,2.6,5.42,--,7.94,0.24,0.41,4.75,9.70%,0.25,11.50%,0.80%,1
BHLB,Berkshire Hills Bancorp Inc,18.47,13.86,2.93%,13.17,0.92,3.5,13.02,22.54%,0.06,5.10%,0.65%,1
BHP,BHP Group Ltd,16.31,16.34,4.89%,16.08,1.7,2.93,8.45,21.50%,0.49,16.81%,8.95%,1
BIG,Big Lots Inc,4.49,7.59,4.13%,7.66,1.49,0.21,4.03,3.00%,0.66,37.89%,9.24%,1
BIO,Bio Rad Laboratories Inc,36.35,36.62,--,53.34,2.24,4.97,25.19,13.83%,0.09,6.53%,4.72%,1
BIOQ,Bioqual Inc,12.05,15.1,1.51%,46.5,1.61,1.04,11.48,6.97%,0,14.14%,9.54%,1
BIP,Brookfield Infrastructure Partners LP,249.44,85.21,4.01%,74.31,2.59,3.21,14.18,17.33%,2.65,1.05%,2.28%,1
BJRI,BJ's Restaurants Inc,20.35,16.81,1.31%,20.62,2.68,0.66,6.25,4.55%,0.55,13.83%,4.78%,1
BK,Bank of New York Mellon Corp,13.16,12.84,2.45%,12.62,1.24,2.97,8.76,25.31%,0.7,9.74%,1.07%,1
BKE,Buckle Inc,12.85,13.22,4.62%,12.66,3.07,1.43,10.45,10.80%,0,23.75%,13.53%,1
BKEAY,Bank of East Asia Ltd,17.98,8.61,--,15.27,0.5,2.43,8.06,33.25%,0.14,2.76%,0.42%,1
BKGMF,BankGuam Holding Co,7.8,8.72,--,11.15,0.67,1,6.76,12.39%,0.09,9.04%,0.74%,1
BKH,Black Hills Corp,21.14,16.2,2.76%,22.56,2.04,2.71,10,15.94%,1.31,10.52%,3.33%,1
BKI,Black Knight Inc,69.38,57.04,--,33.6,5.19,8.34,27.51,15.13%,0.84,7.69%,4.62%,1
BKNG,Booking Holdings Inc,21.39,25.36,--,20.59,14.76,5.85,19.95,27.20%,1.26,53.92%,18.71%,1
BKR,Baker Hughes Co,123.37,121.19,2.90%,28.61,1.17,1.08,15.37,0.77%,0.29,0.36%,0.70%,1
BKSC,Bank of South Carolina,14.64,15.52,3.33%,19.23,2.11,5.25,14.94,35.62%,0,15.70%,1.67%,1
BKU,BankUnited Inc,12.91,11.77,2.38%,11.93,1.15,3.33,8.6,27.48%,0.14,8.83%,0.86%,1
BLD,TopBuild Corp,19.71,27.64,--,19.26,3.05,1.36,20.38,5.65%,0.6,16.31%,7.23%,1
BLDR,Builders FirstSource Inc,13.25,14.98,--,12.87,3.92,0.42,10.07,2.66%,1.73,35.29%,7.16%,1
BLFS,Biolife Solutions Inc,36.01,121.03,--,40.34,4.33,13.66,102.61,16.54%,0,18.88%,17.56%,1
BLK,BlackRock Inc,19.76,19.27,2.58%,18.43,2.44,5.65,17.48,30.30%,0.18,12.66%,2.43%,1
BLKB,Blackbaud Inc,190.36,84.33,0.61%,35.22,10.15,4.38,31.12,5.28%,1.3,5.35%,1.28%,1
BLL,Ball Corp,37.23,45.87,0.91%,26.48,6.48,1.88,17.99,4.32%,1.97,17.47%,3.82%,1
BLMN,Bloomin' Brands Inc,17.98,19.53,1.80%,14.13,13.38,0.47,6.21,2.65%,7.58,116.60%,4.03%,1
BLX,Banco Latinoamericano de Comercio Exterior SA,10.23,77.75,7.03%,10.16,0.86,5.18,49.86,8.73%,1.42,8.48%,1.28%,1
BMA,Banco Macro SA,4.21,9.07,6.21%,4.92,1.89,2.21,11.87,27.78%,0.43,51.48%,9.18%,1
BMCH,BMC Stock Holdings Inc,17.08,16.9,--,15.88,2.08,0.55,10.75,3.24%,0.37,13.00%,6.69%,1
BMI,Badger Meter Inc,39.89,66.18,1.08%,38.82,5.67,4.35,35.2,6.41%,0,14.91%,11.27%,1
BMRC,Bank of Marin Bancorp,17.51,18.94,1.91%,18.04,1.8,5.69,16.77,32.08%,0.01,10.85%,1.36%,1
BMTC,Bryn Mawr Bank Corp,14.04,13.27,2.58%,13.09,1.35,3.58,11.11,27.45%,0.2,10.07%,1.26%,1
BMY,Bristol-Myers Squibb Co,18.85,21.46,2.76%,14.89,6.02,6.33,26.8,22.18%,1.38,36.19%,12.47%,1
BNCC,BNCCorp Inc,12.36,17.92,--,34.6,1.28,2.18,14.42,14.43%,0.26,11.79%,0.96%,1
BOCH,Bank of Commerce Holdings,12.69,11.63,1.79%,13.29,1.19,3.57,11.5,30.51%,0.12,10.13%,1.11%,1
BOGN,Bogen Communications International Inc,0.4,0.4,--,0.02,0.01,0.01,0.14,1.91%,0,1.72%,0.94%,1
BOH,Bank of Hawaii Corp,17.26,17.86,2.87%,16.8,2.91,5.56,16.07,33.47%,0.01,17.41%,1.28%,1
BOKF,BOK Financial Corp,12.32,12.95,2.39%,11.63,1.26,3.4,11.99,27.76%,0.06,11.70%,1.30%,1
BONL,Bonal International Inc,23.01,58.84,11.43%,1.75,2.27,1.49,50.82,3.24%,0,9.71%,7.62%,1
BOOM,DMC Global Inc,12.01,21.32,1.13%,12.53,3.88,1.62,15.99,9.52%,0.15,38.27%,21.95%,1
BOOT,Boot Barn Holdings Inc,29.41,33.83,--,25.95,4.59,1.6,22.6,5.02%,0.4,17.35%,6.09%,1
BOSC,BOS Better Online Solutions Ltd,10.17,7.71,--,2.18,0.68,0.28,7.26,3.03%,0.17,6.27%,3.40%,1
BOTJ,Bank of the James,12.15,12.73,1.56%,15.42,1.11,2.2,10.83,18.66%,0.08,9.74%,0.81%,1
BP,BP PLC,27.47,14.02,6.35%,13.16,1.35,0.47,5.29,3.17%,0.67,4.79%,1.74%,1
BPFH,Boston Private Financial Holdings Inc,10.73,13.48,3.96%,12.76,1.25,2.86,9.99,21.29%,0.13,12.37%,1.09%,1
BPMP,Bp Midstream Partners LP,11.01,12.99,8.13%,10.67,19.06,14.14,10.27,142.29%,5.12,90.41%,26.60%,1
BPOP,Popular Inc,9.2,9.42,2.01%,8.81,0.99,2.34,8.2,27.05%,0.09,11.49%,1.27%,1
BPY,Brookfield Property Partners LP,13.03,8.04,7.25%,12.64,0.63,0.97,2.03,50.48%,3.74,5.82%,2.23%,1
BR,Broadridge Financial Solutions Inc,32.63,31.39,1.69%,24.92,12.79,3.37,22.33,11.06%,1.2,38.85%,12.15%,1
BRC,Brady Corp,22.17,23.25,1.53%,21.74,3.46,2.63,19.65,11.31%,0,16.65%,11.99%,1
BRDCY,Bridgestone Corp,10.51,10.27,--,18.18,1.28,0.84,6.04,8.21%,0.2,12.03%,7.37%,1
BRID,Bridgford Foods Corp,35.23,26.2,--,27.64,3.54,1.35,18.56,5.50%,0.18,10.84%,6.46%,1
BRK/A,Berkshire Hathaway Inc,20.86,150.36,--,21.72,1.4,2.19,40.17,1.62%,0.25,6.87%,3.52%,1
BRKL,Brookline Bancorp Inc,14.83,15.47,2.89%,14.53,1.37,4.52,13.32,31.45%,0.14,9.43%,1.15%,1
BRKR,Bruker Corp,39.41,45.42,0.31%,31.93,9.46,3.95,32.51,9.55%,0.61,24.87%,9.77%,1
BRKS,Brooks Automation Inc,181.63,181.2,0.97%,32.58,2.62,3.89,42.81,2.11%,0.04,1.78%,1.26%,1
BRO,Brown & Brown Inc,29.01,33.13,0.84%,29.09,3.44,4.9,25.09,17.09%,0.46,12.25%,5.87%,1
BRX,Brixmor Property Group Inc,20.88,16.71,5.64%,22.17,2.18,5.14,8.38,29.67%,1.76,10.29%,3.49%,1
BRY,Berry Petroleum Corp,3.94,14.63,5.43%,6.61,0.72,0.99,5.29,25.08%,0.4,19.33%,11.03%,1
BSAC,Banco Santander-Chile,14.74,14.7,4.73%,13.43,2.59,3.61,13.11,29.06%,3.47,18.32%,1.40%,1
BSBR,Banco Santander Brasil SA,11.59,13.54,6.49%,11.42,1.71,2.32,11.82,21.27%,0.88,15.37%,2.04%,1
BSET,Bassett Furniture Industries Inc,38.98,18.52,3.02%,35.8,0.91,0.37,7.07,2.09%,0,2.34%,1.57%,1
BSHI,Boss Holdings Inc,30.87,27.76,--,22.25,1.39,0.97,19.63,3.61%,0.02,5.39%,4.48%,1
BSIG,Brightsphere Investment Group Inc,5.31,8.01,3.98%,5.86,30.95,1.05,5.75,13.92%,20.96,276.61%,12.21%,1
BSM,Black Stone Minerals LP,8.95,10.36,11.32%,13.07,3.21,4.57,7.26,48.49%,0.36,38.35%,20.21%,1
BSMX,Banco Santander Mexico SA Institucion de Banca Multiple Grupo Financiero Santand,11.01,12.6,5.71%,8.56,1.46,2.55,11.24,21.81%,0.42,13.06%,1.26%,1
BSRR,Sierra Bancorp,12.48,14.53,2.72%,12.21,1.41,3.58,13.01,26.04%,0.12,12.21%,1.36%,1
BSTC,Biospecifics Technologies Corp,17.38,20.15,--,16.85,3.46,11.15,17.98,60.84%,0,22.32%,21.98%,1
BSVN,Bank7 Corp,6.89,6.11,2.16%,22.08,1.85,4.3,7.15,61.03%,0,10.13%,1.18%,1
BSX,Boston Scientific Corp,62.32,39.9,--,29.11,6.56,6.13,25.47,16.33%,0.99,11.47%,4.38%,1
BTI,British American Tobacco PLC,13.21,13.31,5.97%,11.01,1.22,3.19,11.5,25.07%,0.64,9.41%,4.25%,1
BTU,Peabody Energy Corp,3.21,1.98,6.73%,76.96,0.29,0.17,0.68,11.74%,0.45,10.39%,4.82%,1
BUKS,Butler National Corp,7.71,11.39,--,0.68,1.43,0.7,5.12,9.62%,1.36,20.28%,9.77%,1
BURL,Burlington Stores Inc,35.38,38.31,--,31.55,39.14,2.17,24.23,6.22%,2.51,151.51%,10.17%,1
BUSE,First Busey Corp,14.55,13.5,3.09%,14.38,1.23,3.9,13.07,29.85%,0.21,9.11%,1.13%,1
BV,Brightview Holdings Inc,39.32,39.3,--,14.73,1.38,0.73,9.78,1.85%,0.88,3.54%,1.53%,1
BWA,BorgWarner Inc,10.93,9.45,1.64%,10.55,1.92,0.84,6.09,9.23%,0.37,18.43%,8.41%,1
BWB,Bridgewater Bancshares Inc,13.06,14.44,--,12.89,1.61,5.05,13.64,40.01%,0.16,13.69%,1.49%,1
BWFG,Bankwell Financial Group Inc,12.23,12.64,1.86%,11.55,1.25,3.65,11.42,28.95%,0.14,10.15%,0.96%,1
BWL/A,Bowl America Inc,27.7,26.29,4.51%,15.53,3.44,3.33,19.88,12.49%,0,12.23%,9.95%,1
BWTL,Bowlin Travel Centers Inc,25.75,50.89,--,3,0.91,0.39,9.01,0.79%,0.58,3.60%,1.92%,1
BWXT,BWX Technologies Inc,32.52,30.37,1.05%,25.4,17.41,3.3,22.54,11.88%,2.4,51.17%,10.76%,1
BX,Blackstone Group Inc,25.1,25.54,3.33%,25.49,5.73,11.87,20.4,47.76%,1.68,22.71%,8.94%,1
BXG,Bluegreen Vacations Corp,17.2,8.54,5.23%,20.12,1.78,0.99,6.38,13.46%,1.51,10.24%,4.08%,1
BXP,Boston Properties Inc,40.31,36.51,2.90%,41.56,3.82,7.18,15.5,26.23%,2.13,9.31%,3.19%,1
BXS,BancorpSouth Bank,15.06,14.44,2.42%,13.44,1.28,3.44,12.66,24.43%,0,8.84%,1.10%,1
BY,Byline Bancorp Inc,13.19,17.5,0.60%,12.73,1.05,2.79,15.15,17.25%,0.05,8.44%,1.11%,1
BYD,Boyd Gaming Corp,20.9,28.73,0.98%,16.51,2.55,0.97,9.24,4.37%,3.03,13.07%,2.61%,1
BYFC,Broadway Financial Corp,291.59,51.42,--,1.56,0.89,2.67,28.31,7.29%,0.09,0.29%,0.03%,1
BZLFY,Bunzl plc,20.86,21.17,2.39%,27.03,4.25,0.74,14.62,3.60%,1.12,21.36%,5.73%,1
BZUN,Baozun Inc,45.31,54.96,--,38.11,5.95,2.31,45.14,5.02%,0.79,15.04%,6.66%,1
C,Citigroup Inc,10.41,11.92,2.57%,10.29,0.98,2.37,8.41,24.70%,1.21,9.80%,0.95%,1
CAAP,Corporacion America Airports SA,12.53,133.78,--,9.49,1.24,0.6,5.81,-0.74%,1.37,10.84%,1.98%,1
CAAS,China Automotive Systems Inc,18.91,40.61,--,10.17,0.34,0.22,6.07,-0.21%,0.03,1.77%,0.12%,1
CABO,Cable ONE Inc,55.43,56.14,0.56%,51.77,11.91,8.24,25.45,15.37%,1.65,21.97%,6.85%,1
CAC,Camden National Corp,12.71,13.47,2.89%,12.69,1.47,4.16,12.07,33.47%,0.13,12.55%,1.28%,1
CACC,Credit Acceptance Corp,12.9,14.82,--,12.45,3.44,5.66,13.8,44.64%,1.78,29.73%,9.70%,1
CACI,CACI International Inc,26.3,25.15,--,21.46,2.71,1.27,18.74,5.33%,0.64,11.02%,5.25%,1
CADE,Cadence Bancorp,11.33,8.94,3.98%,9.95,0.91,3.17,12.07,34.47%,0.11,9.37%,1.23%,1
CAG,Conagra Brands Inc,19.31,20.85,2.67%,15.04,2.04,1.47,16.53,6.34%,1.22,10.82%,3.26%,1
CAI,CAI International Inc,9.66,7.82,--,19.13,0.87,1.17,2.56,18.19%,2.65,9.32%,2.14%,1
CAJ,Canon Inc,20.02,13.05,5.24%,21.09,1.24,1.1,7.87,6.75%,0.14,6.01%,3.64%,1
CAKE,Cheesecake Factory Inc,18.68,18.4,3.65%,14.98,3.3,0.75,9.03,4.25%,0.63,16.52%,5.14%,1
CAMT,Camtek Ltd,19.12,22.03,1.51%,18.11,3.32,3.23,20.94,15.21%,0,19.50%,14.98%,1
CANG,Cango Inc,15.3,30.3,--,26.18,1.84,7.27,31.48,28.12%,0.04,6.46%,4.72%,1
CAPL,Crossamerica Partners LP,28.38,161.54,12.16%,29.27,6.48,0.27,9.71,0.21%,5.67,20.09%,2.37%,1
CAR,Avis Budget Group Inc,15.16,16.75,--,10.02,5.16,0.28,1.06,1.81%,30.26,34.06%,0.81%,1
CARE,Carter Bank and Trust,20.97,46.72,--,17.65,1.18,4.31,35.78,9.10%,0,5.85%,0.66%,1
CARG,CarGurus Inc,84.71,61.2,--,72.84,16.59,7.07,56.1,14.35%,0,23.11%,15.61%,1
CARO,Carolina Financial Corp,15.03,18.34,0.96%,14.1,1.48,5.09,15.07,28.59%,0.07,10.41%,1.60%,1
CASH,Meta Financial Group Inc,15.21,15.18,0.53%,11.01,1.7,2.92,9.09,20.81%,0.26,12.25%,1.69%,1
CASS,Cass Information Systems Inc,26.56,27.62,1.93%,55.92,3.31,5,19.57,19.86%,0,13.03%,1.79%,1
CASY,Caseys General Stores Inc,26.52,30.47,0.76%,26.61,3.96,0.66,13.79,2.18%,0.46,16.09%,6.34%,1
CAT,Caterpillar Inc,14.18,14.49,2.82%,13.49,5.4,1.47,9.19,11.00%,1.71,38.41%,7.55%,1
CATC,Cambridge Bancorp,15.24,13.37,2.64%,12.18,1.54,3.81,15.95,24.73%,0,11.50%,0.97%,1
CATG,Capstone Technologies Group Inc,0.03,0.04,--,0.01,0.01,0.01,0.03,22.86%,0.45,23.44%,8.15%,1
CATM,Cardtronics PLC,68.75,624.59,--,18.09,5.58,1.45,10.66,0.24%,2.16,7.66%,1.61%,1
CATO,Cato Corp,11.21,13.27,8.20%,16.09,1.2,0.48,8.54,3.61%,0,10.36%,6.11%,1
CATY,Cathay General Bancorp,10.87,11.2,3.32%,10.75,1.32,4.74,10.65,45.41%,0.07,12.67%,1.60%,1
CB,Chubb Ltd,19.24,17.9,1.99%,14.53,1.25,2.06,16,12.02%,0.25,6.85%,2.11%,1
CBAN,Colony Bankcorp Inc,12.88,10.93,1.97%,15.25,1.12,2.49,10.53,23.64%,0.19,9.53%,0.78%,1
CBD,Companhia Brasileira de Distribuicao,23.74,19.08,1.85%,22.94,2.22,0.46,11.34,2.54%,1.28,9.42%,2.06%,1
CBFV,CB Financial Services Inc,13.12,20.62,3.32%,12.51,1.06,3.02,15.55,15.33%,0,8.57%,0.94%,1
CBKM,Consumers Bancorp Inc,9.94,9.63,2.75%,19.63,1.02,2.45,8.47,25.70%,0,11.13%,1.00%,1
CBNK,Capital Bancorp Inc,13.5,14.52,--,12.79,1.6,2.42,14.83,17.25%,0.12,13.06%,1.28%,1
CBOE,Cboe Global Markets Inc,30.44,30.79,1.24%,24.85,3.87,4.85,20.41,15.36%,0.26,13.12%,8.36%,1
CBPI,China Botanic Pharmaceutical Inc,0,0,--,0,0,0,0,35.65%,0,26.48%,24.25%,1
CBPO,China Biologic Products Holdings Inc,28.61,35.08,--,25.31,2.7,8.66,27.32,30.08%,0,9.45%,9.59%,1
CBPX,Continental Building Products Inc,20.75,18.18,--,21.58,3.62,2.46,10.73,14.06%,0.75,17.88%,9.24%,1
CBRE,CBRE Group Inc,19.56,19.2,--,16.08,3.67,0.87,13.17,5.06%,0.33,20.56%,7.56%,1
CBRL,Cracker Barrel Old Country Store Inc,17.39,17.08,3.28%,16.83,6.27,1.23,11.47,7.27%,0.8,36.39%,11.87%,1
CBSH,Commerce Bancshares Inc,18.85,18.71,1.54%,19.03,2.57,5.65,16.21,33.08%,0.08,14.63%,1.67%,1
CBT,Cabot Corp,17.04,17.01,3.12%,11.7,2.56,0.77,7.74,5.54%,1.03,14.41%,5.92%,1
CBTX,CBTX Inc,15.04,16.51,1.28%,15.58,1.48,5.27,15.74,34.04%,0,10.43%,1.57%,1
CBU,Community Bank System Inc,22.12,21.77,2.32%,21.59,1.98,6.28,17.99,29.63%,0.05,9.49%,1.50%,1
CBZ,CBIZ Inc,21,24.59,--,21.65,2.24,1.56,17.26,6.68%,0.24,11.32%,5.51%,1
CC,Chemours Co,6.88,3.05,6.09%,6.79,3.21,0.48,2.12,14.85%,4.79,41.27%,5.45%,1
CCB,Coastal Financial Corp (EVERETT),16.14,18.27,--,15.54,1.65,4.12,18.48,24.08%,0.11,11.21%,1.26%,1
CCBC,Chino Commercial Bancorp,11.01,13.1,--,13.1,1.22,2.32,9.4,25.09%,0.13,11.78%,1.21%,1
CCBG,Capital City Bank Group Inc,18.03,21.89,1.79%,16.25,1.51,3.16,16.71,15.70%,0.16,8.75%,0.94%,1
CCEP,Coca-Cola European Partners PLC,22.71,25.41,2.70%,18.1,3.37,1.76,15.03,7.66%,0.9,14.78%,5.16%,1
CCF,Chase Corp,32.31,30.83,0.75%,106.68,3.68,3.65,20.14,11.63%,0,11.89%,9.78%,1
CCGY,China Clean Energy Inc,0.01,0.02,--,0,0,0,0.02,10.80%,0,24.15%,19.21%,1
CCI,Crown Castle International Corp,71.76,105.91,3.37%,70.46,5.23,10.14,28.15,12.37%,1.57,7.02%,2.65%,1
CCK,Crown Holdings Inc,20.2,21.78,--,14.16,5.95,0.83,10.17,4.68%,4.97,37.03%,3.76%,1
CCL,Carnival Corp,11.29,11.31,4.09%,10.72,1.32,1.58,6.4,14.35%,0.38,12.01%,6.84%,1
CCMP,Cabot Microelectronics Corp,90.8,90.47,1.12%,20.47,4.44,4.19,29.61,4.64%,0.95,5.84%,3.16%,1
CCNE,CNB Financial Corp,12.38,14.2,2.17%,11.9,1.6,3.45,12.36,26.84%,0.24,13.92%,1.16%,1
CCOM,CCOM Group Inc,3.17,3.5,--,1.14,0.67,0.09,3.1,2.93%,0.02,24.65%,9.17%,1
CCR,CONSOL Coal Resources LP,5.97,4.26,20.30%,5.91,1.35,0.82,2.53,18.64%,0.84,25.20%,10.87%,1
CCS,Century Communities Inc,9.86,8.8,--,7.97,0.93,0.37,8.08,4.56%,1.24,9.88%,3.81%,1
CCTR,China Crescent Enterprises Inc,0,0,--,0,0,0,0,5.36%,0.01,16.15%,10.02%,1
CCU,Compania Cervecerias Unidas SA,19,9.33,8.84%,20.47,2.22,1.62,6.99,18.06%,0.2,12.30%,7.72%,1
CCUR,CCUR Holdings Inc,9.42,57.88,--,4.4,0.7,7.82,53.64,15.91%,0.03,7.42%,6.53%,1
CDBT,China Dasheng Biotechnology Co,0.23,0.32,--,0.05,0.08,0.07,0.25,31.87%,0,40.01%,33.10%,1
CDEV,Centennial Resource Development Inc,31.77,5.9,--,55.95,0.38,1.34,2.27,23.87%,0.31,1.18%,0.91%,1
CDEVY,City Developments Ltd,19.03,20.12,1.70%,8.52,1.01,3.15,11.94,15.65%,0.66,5.56%,2.87%,1
CDNS,Cadence Design Systems Inc,48.26,59.62,--,33.39,13.84,8.88,44.25,16.11%,0.23,31.03%,17.21%,1
